departureAirport,origCountry,arrivalAirport,destCountry,aircraftName,Frequency,departure_latitude,departure_longitude,arrival_latitude,arrival_longitude
DXB,United Arab Emirates,LHR,United Kingdom,Airbus A380-800,2526,25.2528,55.3644,51.4775,-0.461389
SIN,Singapore,BKK,Thailand,Airbus A330-300,1561,1.35019,103.994,13.6811,100.747
NRT,Japan,PVG,China,Boeing B767-300ER,1543,35.7653,140.386,31.1434,121.805
PVG,China,NRT,Japan,Boeing B767-300ER,1542,31.1434,121.805,35.7653,140.386
ICN,South Korea,SIN,Singapore,Airbus A330-300,1511,37.4633,126.44,1.35019,103.994
SIN,Singapore,ICN,South Korea,Airbus A330-300,1509,1.35019,103.994,37.4633,126.44
BKK,Thailand,SIN,Singapore,Airbus A330-300,1454,13.6811,100.747,1.35019,103.994
TSA,Taiwan,HND,Japan,Airbus A330-300,1451,25.0694,121.552,35.5533,139.781
HND,Japan,TSA,Taiwan,Airbus A330-300,1451,35.5533,139.781,25.0694,121.552
TPE,Taiwan,PVG,China,Boeing B747-400,1376,25.0777,121.233,31.1434,121.805
PVG,China,TPE,Taiwan,Boeing B747-400,1371,31.1434,121.805,25.0777,121.233
GMP,South Korea,HND,Japan,Boeing B767-300ER,1332,,,35.5533,139.781
HND,Japan,GMP,South Korea,Boeing B767-300ER,1331,35.5533,139.781,,
PVG,China,ICN,South Korea,Airbus A330-300,1321,31.1434,121.805,37.4633,126.44
ICN,South Korea,PVG,China,Airbus A330-300,1317,37.4633,126.44,31.1434,121.805
SIN,Singapore,TPE,Taiwan,Airbus A330-300,1304,1.35019,103.994,25.0777,121.233
TPE,Taiwan,SIN,Singapore,Airbus A330-300,1294,25.0777,121.233,1.35019,103.994
TSA,Taiwan,SHA,China,Airbus A330-300,1268,25.0694,121.552,31.1979,121.336
SHA,China,TSA,Taiwan,Airbus A330-300,1268,31.1979,121.336,25.0694,121.552
BKK,Thailand,DOH,Qatar,Boeing B777-300ER,1224,13.6811,100.747,25.2731,51.6081
DOH,Qatar,BKK,Thailand,Boeing B777-300ER,1223,25.2731,51.6081,13.6811,100.747
DXB,United Arab Emirates,DOH,Qatar,Boeing B777-300ER,1200,25.2528,55.3644,25.2731,51.6081
ICN,South Korea,TPE,Taiwan,Airbus A330-300,1199,37.4633,126.44,25.0777,121.233
DOH,Qatar,DXB,United Arab Emirates,Boeing B777-300ER,1197,25.2731,51.6081,25.2528,55.3644
TPE,Taiwan,ICN,South Korea,Airbus A330-300,1195,25.0777,121.233,37.4633,126.44
SIN,Singapore,BKK,Thailand,Boeing B747-400F,1192,1.35019,103.994,13.6811,100.747
ICN,South Korea,PVG,China,Boeing B747-400F,1105,37.4633,126.44,31.1434,121.805
HND,Japan,GMP,South Korea,Airbus A330-300,1096,35.5533,139.781,,
GMP,South Korea,HND,Japan,Airbus A330-300,1094,,,35.5533,139.781
KIX,Japan,PVG,China,Boeing B767-300ER,1089,34.4305,135.23,31.1434,121.805
AUH,United Arab Emirates,BKK,Thailand,Boeing B777-300ER,1089,24.433,54.6511,13.6811,100.747
PVG,China,KIX,Japan,Boeing B767-300ER,1089,31.1434,121.805,34.4305,135.23
BKK,Thailand,AUH,United Arab Emirates,Boeing B777-300ER,1088,13.6811,100.747,24.433,54.6511
BKK,Thailand,TPE,Taiwan,Airbus A330-Unspecified,994,13.6811,100.747,25.0777,121.233
TPE,Taiwan,BKK,Thailand,Airbus A330-Unspecified,989,25.0777,121.233,13.6811,100.747
PEK,China,NRT,Japan,Boeing B767-300ER,968,40.0725,116.598,35.7653,140.386
NRT,Japan,PEK,China,Boeing B767-300ER,968,35.7653,140.386,40.0725,116.598
DXB,United Arab Emirates,BKK,Thailand,Airbus A380-800,954,25.2528,55.3644,13.6811,100.747
BKK,Thailand,DXB,United Arab Emirates,Airbus A380-800,951,13.6811,100.747,25.2528,55.3644
SIN,Singapore,BKK,Thailand,Boeing B777-200ER,950,1.35019,103.994,13.6811,100.747
BKK,Thailand,SIN,Singapore,Boeing B777-200ER,948,13.6811,100.747,1.35019,103.994
DXB,United Arab Emirates,CDG,France,Airbus A380-800,909,25.2528,55.3644,49.0097,2.54778
JED,Saudi Arabia,DXB,United Arab Emirates,Airbus A380-800,906,21.6796,39.1565,25.2528,55.3644
DXB,United Arab Emirates,JED,Saudi Arabia,Airbus A380-800,905,25.2528,55.3644,21.6796,39.1565
BKK,Thailand,ICN,South Korea,Boeing B777-200ER,903,13.6811,100.747,37.4633,126.44
TSA,Taiwan,HND,Japan,Boeing B767-300ER,902,25.0694,121.552,35.5533,139.781
HND,Japan,TSA,Taiwan,Boeing B767-300ER,902,35.5533,139.781,25.0694,121.552
SIN,Singapore,DXB,United Arab Emirates,Boeing B777-300ER,901,1.35019,103.994,25.2528,55.3644
DXB,United Arab Emirates,SIN,Singapore,Boeing B777-300ER,899,25.2528,55.3644,1.35019,103.994
NRT,Japan,TPE,Taiwan,Airbus A330-300,893,35.7653,140.386,25.0777,121.233
TPE,Taiwan,NRT,Japan,Airbus A330-300,893,25.0777,121.233,35.7653,140.386
ICN,South Korea,BKK,Thailand,Boeing B777-200ER,888,37.4633,126.44,13.6811,100.747
BKK,Thailand,DXB,United Arab Emirates,Boeing B777-300ER,886,13.6811,100.747,25.2528,55.3644
DXB,United Arab Emirates,FRA,Germany,Boeing B777-300ER,886,25.2528,55.3644,50.0333,8.57056
DXB,United Arab Emirates,BKK,Thailand,Boeing B777-300ER,884,25.2528,55.3644,13.6811,100.747
SHA,China,GMP,South Korea,Airbus A330-300,850,31.1979,121.336,,
GMP,South Korea,SHA,China,Airbus A330-300,850,,,31.1979,121.336
TPE,Taiwan,KIX,Japan,Airbus A330-300,847,25.0777,121.233,34.4305,135.23
PVG,China,ICN,South Korea,Boeing B747-400F,846,31.1434,121.805,37.4633,126.44
DOH,Qatar,CDG,France,Airbus A340-600,832,25.2731,51.6081,49.0097,2.54778
KIX,Japan,TPE,Taiwan,Airbus A330-300,825,34.4305,135.23,25.0777,121.233
SIN,Singapore,PEK,China,Airbus A330-300,819,1.35019,103.994,40.0725,116.598
PEK,China,SIN,Singapore,Airbus A330-300,819,40.0725,116.598,1.35019,103.994
DOH,Qatar,DXB,United Arab Emirates,Airbus A330-200,799,25.2731,51.6081,25.2528,55.3644
DXB,United Arab Emirates,LGW,United Kingdom,Boeing B777-300ER,796,25.2528,55.3644,51.1481,-0.190278
DXB,United Arab Emirates,DOH,Qatar,Airbus A330-200,796,25.2528,55.3644,25.2731,51.6081
PEK,China,ICN,South Korea,Airbus A330-300,794,40.0725,116.598,37.4633,126.44
ICN,South Korea,PEK,China,Airbus A330-300,793,37.4633,126.44,40.0725,116.598
FUK,Japan,TPE,Taiwan,Airbus A330-300,792,33.5859,130.451,25.0777,121.233
TPE,Taiwan,FUK,Japan,Airbus A330-300,792,25.0777,121.233,33.5859,130.451
PVG,China,CDG,France,Airbus A330-200,785,31.1434,121.805,49.0097,2.54778
BOM,India,LHR,United Kingdom,Boeing B777-300ER,784,19.0887,72.8679,51.4775,-0.461389
SIN,Singapore,LHR,United Kingdom,Airbus A380-800,783,1.35019,103.994,51.4775,-0.461389
PVG,China,SIN,Singapore,Airbus A330-200,766,31.1434,121.805,1.35019,103.994
SIN,Singapore,PVG,China,Airbus A330-200,765,1.35019,103.994,31.1434,121.805
DAC,Bangladesh,DXB,United Arab Emirates,Boeing B777-300ER,757,23.8433,90.3978,25.2528,55.3644
DXB,United Arab Emirates,DAC,Bangladesh,Boeing B777-300ER,756,25.2528,55.3644,23.8433,90.3978
NRT,Japan,TPE,Taiwan,Boeing B747-400,729,35.7653,140.386,25.0777,121.233
TPE,Taiwan,NRT,Japan,Boeing B747-400,727,25.0777,121.233,35.7653,140.386
NRT,Japan,DLC,China,Boeing B767-300ER,726,35.7653,140.386,38.9657,121.539
DLC,China,NRT,Japan,Boeing B767-300ER,726,38.9657,121.539,35.7653,140.386
CAN,China,NRT,Japan,Boeing B767-300ER,726,23.3924,113.299,35.7653,140.386
DXB,United Arab Emirates,BHX,United Kingdom,Boeing B777-300ER,726,25.2528,55.3644,52.4539,-1.74803
DEL,India,LHR,United Kingdom,Boeing B777-300ER,726,28.5665,77.1031,51.4775,-0.461389
NRT,Japan,CAN,China,Boeing B767-300ER,726,35.7653,140.386,23.3924,113.299
SGN,Vietnam,NRT,Japan,Boeing B767-300ER,726,10.8188,106.652,35.7653,140.386
NRT,Japan,SGN,Vietnam,Boeing B767-300ER,726,35.7653,140.386,10.8188,106.652
DXB,United Arab Emirates,MAN,United Kingdom,Boeing B777-300ER,725,25.2528,55.3644,53.3537,-2.27495
DXB,United Arab Emirates,DUS,Germany,Boeing B777-300ER,724,25.2528,55.3644,51.2895,6.76678
DXB,United Arab Emirates,GLA,United Kingdom,Boeing B777-300ER,723,25.2528,55.3644,55.8719,-4.43306
SIN,Singapore,FRA,Germany,Airbus A380-800,719,1.35019,103.994,50.0333,8.57056
HND,Japan,GMP,South Korea,Boeing B777-300,716,35.5533,139.781,,
GMP,South Korea,HND,Japan,Boeing B777-300,716,,,35.5533,139.781
KIX,Japan,SIN,Singapore,Airbus A330-300,716,34.4305,135.23,1.35019,103.994
SIN,Singapore,KIX,Japan,Airbus A330-300,715,1.35019,103.994,34.4305,135.23
DOH,Qatar,MUC,Germany,Boeing B787-8,702,25.2731,51.6081,48.3538,11.7861
PVG,China,FRA,Germany,Airbus A330-200,699,31.1434,121.805,50.0333,8.57056
BKK,Thailand,SIN,Singapore,Boeing B777-300,696,13.6811,100.747,1.35019,103.994
NRT,Japan,SIN,Singapore,Boeing B777-200ER,696,35.7653,140.386,1.35019,103.994
SIN,Singapore,NRT,Japan,Boeing B777-200ER,688,1.35019,103.994,35.7653,140.386
RUH,Saudi Arabia,DXB,United Arab Emirates,Boeing B777-300ER,687,24.9576,46.6988,25.2528,55.3644
DXB,United Arab Emirates,RUH,Saudi Arabia,Boeing B777-300ER,685,25.2528,55.3644,24.9576,46.6988
SIN,Singapore,CAN,China,Airbus A330-300,680,1.35019,103.994,23.3924,113.299
CAN,China,SIN,Singapore,Airbus A330-300,679,23.3924,113.299,1.35019,103.994
DXB,United Arab Emirates,HAM,Germany,Boeing B777-300ER,678,25.2528,55.3644,53.6304,9.98823
PEK,China,FRA,Germany,Boeing B777-300,668,40.0725,116.598,50.0333,8.57056
PVG,China,SIN,Singapore,Boeing B777-300ER,668,31.1434,121.805,1.35019,103.994
PVG,China,SIN,Singapore,Boeing B747-400F,668,31.1434,121.805,1.35019,103.994
SIN,Singapore,PVG,China,Boeing B777-300ER,667,1.35019,103.994,31.1434,121.805
SIN,Singapore,BKK,Thailand,Boeing B777-300,652,1.35019,103.994,13.6811,100.747
HND,Japan,SHA,China,Boeing B777-Unspecified,652,35.5533,139.781,31.1979,121.336
SHA,China,HND,Japan,Boeing B777-Unspecified,652,31.1979,121.336,35.5533,139.781
DXB,United Arab Emirates,MAD,Spain,Boeing B777-300ER,647,25.2528,55.3644,40.4719,-3.56264
SIN,Singapore,LHR,United Kingdom,Boeing B777-300ER,646,1.35019,103.994,51.4775,-0.461389
AUH,United Arab Emirates,JED,Saudi Arabia,Boeing B777-300ER,645,24.433,54.6511,21.6796,39.1565
JED,Saudi Arabia,AUH,United Arab Emirates,Boeing B777-300ER,643,21.6796,39.1565,24.433,54.6511
HND,Japan,SIN,Singapore,Boeing B787-8,641,35.5533,139.781,1.35019,103.994
SIN,Singapore,HND,Japan,Boeing B787-8,640,1.35019,103.994,35.5533,139.781
DXB,United Arab Emirates,MUC,Germany,Airbus A380-800,638,25.2528,55.3644,48.3538,11.7861
RUH,Saudi Arabia,DXB,United Arab Emirates,Airbus A330-300,630,24.9576,46.6988,25.2528,55.3644
DXB,United Arab Emirates,RUH,Saudi Arabia,Airbus A330-300,630,25.2528,55.3644,24.9576,46.6988
TPE,Taiwan,NGO,Japan,Airbus A330-300,627,25.0777,121.233,34.8584,136.805
NGO,Japan,TPE,Taiwan,Airbus A330-300,627,34.8584,136.805,25.0777,121.233
CCU,India,DXB,United Arab Emirates,Airbus A330-200,623,22.6547,88.4467,25.2528,55.3644
DXB,United Arab Emirates,CCU,India,Airbus A330-200,622,25.2528,55.3644,22.6547,88.4467
PVG,China,FRA,Germany,Boeing B777-200LRF,620,31.1434,121.805,50.0333,8.57056
FUK,Japan,ICN,South Korea,Airbus A330-300,619,33.5859,130.451,37.4633,126.44
ICN,South Korea,FUK,Japan,Airbus A330-300,619,37.4633,126.44,33.5859,130.451
DXB,United Arab Emirates,TRV,India,Airbus A330-200,618,25.2528,55.3644,8.48212,76.9201
TRV,India,DXB,United Arab Emirates,Airbus A330-200,617,8.48212,76.9201,25.2528,55.3644
HYD,India,DXB,United Arab Emirates,Boeing B777-200/200ER,606,17.2313,78.4299,25.2528,55.3644
DXB,United Arab Emirates,HYD,India,Boeing B777-200/200ER,606,25.2528,55.3644,17.2313,78.4299
AUH,United Arab Emirates,LHR,United Kingdom,Boeing B777-300ER,605,24.433,54.6511,51.4775,-0.461389
TPE,Taiwan,SIN,Singapore,Boeing B747-400F,604,25.0777,121.233,1.35019,103.994
NRT,Japan,ICN,South Korea,Boeing B747-400F,604,35.7653,140.386,37.4633,126.44
PVG,China,SIN,Singapore,Boeing B777-200ER,600,31.1434,121.805,1.35019,103.994
SIN,Singapore,PVG,China,Boeing B777-200ER,599,1.35019,103.994,31.1434,121.805
BKK,Thailand,CAN,China,Airbus A330-Unspecified,597,13.6811,100.747,23.3924,113.299
CAN,China,BKK,Thailand,Airbus A330-Unspecified,597,23.3924,113.299,13.6811,100.747
TPE,Taiwan,PVG,China,Airbus A330-200,594,25.0777,121.233,31.1434,121.805
BOM,India,DXB,United Arab Emirates,Boeing B777-300ER,588,19.0887,72.8679,25.2528,55.3644
TPE,Taiwan,PEK,China,Airbus A330-300,588,25.0777,121.233,40.0725,116.598
DXB,United Arab Emirates,BOM,India,Boeing B777-300ER,588,25.2528,55.3644,19.0887,72.8679
PEK,China,TPE,Taiwan,Airbus A330-300,588,40.0725,116.598,25.0777,121.233
PVG,China,TPE,Taiwan,Airbus A330-200,587,31.1434,121.805,25.0777,121.233
BKK,Thailand,TPE,Taiwan,Airbus A330-300,581,13.6811,100.747,25.0777,121.233
TPE,Taiwan,BKK,Thailand,Airbus A330-300,580,25.0777,121.233,13.6811,100.747
ICN,South Korea,CAN,China,Airbus A330-300,574,37.4633,126.44,23.3924,113.299
PVG,China,TPE,Taiwan,Boeing B747-400F,574,31.1434,121.805,25.0777,121.233
KIX,Japan,TPE,Taiwan,Boeing B747-400F,573,34.4305,135.23,25.0777,121.233
CAN,China,ICN,South Korea,Airbus A330-300,573,23.3924,113.299,37.4633,126.44
PVG,China,NRT,Japan,Boeing B747-400F,573,31.1434,121.805,35.7653,140.386
TPE,Taiwan,PVG,China,Boeing B747-400F,573,25.0777,121.233,31.1434,121.805
GMP,South Korea,HND,Japan,Boeing B777-Unspecified,569,,,35.5533,139.781
HND,Japan,GMP,South Korea,Boeing B777-Unspecified,569,35.5533,139.781,,
PEK,China,CDG,France,Boeing B777-300ER,558,40.0725,116.598,49.0097,2.54778
DOH,Qatar,LHR,United Kingdom,Airbus A330-300,548,25.2731,51.6081,51.4775,-0.461389
BOM,India,LHR,United Kingdom,Boeing B777-Unspecified,547,19.0887,72.8679,51.4775,-0.461389
ICN,South Korea,SIN,Singapore,Boeing B777-300ER,545,37.4633,126.44,1.35019,103.994
ICN,South Korea,SIN,Singapore,Boeing B777-300,544,37.4633,126.44,1.35019,103.994
SIN,Singapore,ICN,South Korea,Boeing B777-300,543,1.35019,103.994,37.4633,126.44
SIN,Singapore,ICN,South Korea,Boeing B777-300ER,540,1.35019,103.994,37.4633,126.44
AUH,United Arab Emirates,FRA,Germany,Airbus A330-200,540,24.433,54.6511,50.0333,8.57056
BKK,Thailand,TPE,Taiwan,Boeing B777-300ER,536,13.6811,100.747,25.0777,121.233
ICN,South Korea,HAN,Vietnam,Boeing B747-400F,532,37.4633,126.44,21.2212,105.807
AUH,United Arab Emirates,CDG,France,Airbus A340-600,530,24.433,54.6511,49.0097,2.54778
TPE,Taiwan,BKK,Thailand,Boeing B777-300ER,529,25.0777,121.233,13.6811,100.747
BOM,India,CDG,France,Airbus A330-200,528,19.0887,72.8679,49.0097,2.54778
PVG,China,ICN,South Korea,Airbus A330-200,525,31.1434,121.805,37.4633,126.44
DOH,Qatar,DEL,India,Boeing B787-8,525,25.2731,51.6081,28.5665,77.1031
JED,Saudi Arabia,DXB,United Arab Emirates,Airbus A330-300,524,21.6796,39.1565,25.2528,55.3644
DXB,United Arab Emirates,JED,Saudi Arabia,Airbus A330-300,524,25.2528,55.3644,21.6796,39.1565
ICN,South Korea,PVG,China,Airbus A330-200,524,37.4633,126.44,31.1434,121.805
DEL,India,DOH,Qatar,Boeing B787-8,521,28.5665,77.1031,25.2731,51.6081
BKK,Thailand,HND,Japan,Boeing B767-300ER,521,13.6811,100.747,35.5533,139.781
TSA,Taiwan,HND,Japan,Boeing B787-8,520,25.0694,121.552,35.5533,139.781
HND,Japan,TSA,Taiwan,Boeing B787-8,519,35.5533,139.781,25.0694,121.552
DXB,United Arab Emirates,MXP,Italy,Boeing B777-300ER,519,25.2528,55.3644,45.6306,8.72811
DXB,United Arab Emirates,AMD,India,Airbus A330-200,519,25.2528,55.3644,23.0772,72.6347
HND,Japan,BKK,Thailand,Boeing B767-300ER,519,35.5533,139.781,13.6811,100.747
BKK,Thailand,ICN,South Korea,Airbus A330-300,518,13.6811,100.747,37.4633,126.44
TPE,Taiwan,SIN,Singapore,Boeing B777-200/200ER,518,25.0777,121.233,1.35019,103.994
AMD,India,DXB,United Arab Emirates,Airbus A330-200,518,23.0772,72.6347,25.2528,55.3644
SIN,Singapore,TPE,Taiwan,Boeing B777-200/200ER,517,1.35019,103.994,25.0777,121.233
ICN,South Korea,BKK,Thailand,Airbus A330-300,517,37.4633,126.44,13.6811,100.747
DXB,United Arab Emirates,MXP,Italy,Boeing B777-300,514,25.2528,55.3644,45.6306,8.72811
NRT,Japan,ICN,South Korea,Airbus A330-300,503,35.7653,140.386,37.4633,126.44
DXB,United Arab Emirates,FCO,Italy,Airbus A380-800,498,25.2528,55.3644,41.8003,12.2389
ICN,South Korea,NRT,Japan,Airbus A330-300,494,37.4633,126.44,35.7653,140.386
BOM,India,SIN,Singapore,Boeing B777-200ER,494,19.0887,72.8679,1.35019,103.994
SIN,Singapore,BOM,India,Boeing B777-200ER,494,1.35019,103.994,19.0887,72.8679
NRT,Japan,TPE,Taiwan,Boeing B747-400F,491,35.7653,140.386,25.0777,121.233
DXB,United Arab Emirates,LHR,United Kingdom,Boeing B777-Unspecified,485,25.2528,55.3644,51.4775,-0.461389
BOM,India,DXB,United Arab Emirates,Boeing B777-300,483,19.0887,72.8679,25.2528,55.3644
DXB,United Arab Emirates,BOM,India,Boeing B777-300,481,25.2528,55.3644,19.0887,72.8679
BKK,Thailand,PVG,China,Boeing B747-400F,478,13.6811,100.747,31.1434,121.805
KIX,Japan,TPE,Taiwan,Boeing B747-400,474,34.4305,135.23,25.0777,121.233
TPE,Taiwan,KIX,Japan,Boeing B747-400,473,25.0777,121.233,34.4305,135.23
RUH,Saudi Arabia,DXB,United Arab Emirates,Boeing B777-200ER,470,24.9576,46.6988,25.2528,55.3644
NRT,Japan,SIN,Singapore,Boeing B767-300ER,469,35.7653,140.386,1.35019,103.994
DXB,United Arab Emirates,RUH,Saudi Arabia,Boeing B777-200ER,469,25.2528,55.3644,24.9576,46.6988
SIN,Singapore,NRT,Japan,Boeing B767-300ER,468,1.35019,103.994,35.7653,140.386
BLR,India,DXB,United Arab Emirates,Airbus A330-200,463,13.1979,77.7063,25.2528,55.3644
DXB,United Arab Emirates,BLR,India,Airbus A330-200,462,25.2528,55.3644,13.1979,77.7063
NRT,Japan,PVG,China,Boeing B787-8,461,35.7653,140.386,31.1434,121.805
PVG,China,NRT,Japan,Boeing B787-8,460,31.1434,121.805,35.7653,140.386
NRT,Japan,SIN,Singapore,Airbus A380-800,459,35.7653,140.386,1.35019,103.994
ICN,South Korea,BKK,Thailand,Boeing B767-300ER,457,37.4633,126.44,13.6811,100.747
BKK,Thailand,ICN,South Korea,Boeing B767-300ER,456,13.6811,100.747,37.4633,126.44
NRT,Japan,BKK,Thailand,Boeing B747-400,454,35.7653,140.386,13.6811,100.747
NRT,Japan,SIN,Singapore,Boeing B787-8,452,35.7653,140.386,1.35019,103.994
DXB,United Arab Emirates,CDG,France,Boeing B777-300ER,452,25.2528,55.3644,49.0097,2.54778
BKK,Thailand,NRT,Japan,Boeing B747-400,451,13.6811,100.747,35.7653,140.386
SIN,Singapore,NRT,Japan,Boeing B787-8,451,1.35019,103.994,35.7653,140.386
BKK,Thailand,NRT,Japan,Airbus A380-800,450,13.6811,100.747,35.7653,140.386
SIN,Singapore,NRT,Japan,Airbus A380-800,450,1.35019,103.994,35.7653,140.386
NRT,Japan,BKK,Thailand,Airbus A380-800,450,35.7653,140.386,13.6811,100.747
AUH,United Arab Emirates,DUS,Germany,Airbus A330-200,448,24.433,54.6511,51.2895,6.76678
DOH,Qatar,LHR,United Kingdom,Airbus A340-600,441,25.2731,51.6081,51.4775,-0.461389
NRT,Japan,PVG,China,Boeing B747-8F,440,35.7653,140.386,31.1434,121.805
SGN,Vietnam,TPE,Taiwan,Boeing B777-300ER,437,10.8188,106.652,25.0777,121.233
TPE,Taiwan,SGN,Vietnam,Boeing B777-300ER,436,25.0777,121.233,10.8188,106.652
PVG,China,KIX,Japan,Boeing B777-200LRF,431,31.1434,121.805,34.4305,135.23
NRT,Japan,TPE,Taiwan,Boeing B767-300ER,430,35.7653,140.386,25.0777,121.233
TPE,Taiwan,NRT,Japan,Boeing B767-300ER,429,25.0777,121.233,35.7653,140.386
TPE,Taiwan,SGN,Vietnam,Airbus A330-300,429,25.0777,121.233,10.8188,106.652
SGN,Vietnam,TPE,Taiwan,Airbus A330-300,428,10.8188,106.652,25.0777,121.233
DOH,Qatar,SIN,Singapore,Boeing B787-8,428,25.2731,51.6081,1.35019,103.994
AUH,United Arab Emirates,TXL,Germany,Airbus A330-200,428,24.433,54.6511,52.5597,13.2877
SIN,Singapore,DOH,Qatar,Boeing B787-8,427,1.35019,103.994,25.2731,51.6081
TPE,Taiwan,PEK,China,Boeing B747-400,426,25.0777,121.233,40.0725,116.598
PEK,China,TPE,Taiwan,Boeing B747-400,426,40.0725,116.598,25.0777,121.233
BKK,Thailand,SGN,Vietnam,Boeing B777-200ER,420,13.6811,100.747,10.8188,106.652
SGN,Vietnam,BKK,Thailand,Boeing B777-200ER,420,10.8188,106.652,13.6811,100.747
DEL,India,DXB,United Arab Emirates,Boeing B777-300,419,28.5665,77.1031,25.2528,55.3644
BKK,Thailand,ICN,South Korea,Boeing B777-300,415,13.6811,100.747,37.4633,126.44
DOH,Qatar,BCN,Spain,Airbus A330-200,415,25.2731,51.6081,41.2971,2.07846
AUH,United Arab Emirates,BRU,Belgium,Airbus A330-200,413,24.433,54.6511,50.9014,4.48444
DOH,Qatar,DXB,United Arab Emirates,Boeing B787-8,413,25.2731,51.6081,25.2528,55.3644
BKK,Thailand,HND,Japan,Boeing B747-400,413,13.6811,100.747,35.5533,139.781
PEK,China,GMP,South Korea,Airbus A330-300,413,40.0725,116.598,,
BKK,Thailand,HND,Japan,Boeing B777-Unspecified,413,13.6811,100.747,35.5533,139.781
HND,Japan,BKK,Thailand,Boeing B777-Unspecified,412,35.5533,139.781,13.6811,100.747
TLV,Israel,LHR,United Kingdom,Boeing B777-200ER,412,32.0114,34.8867,51.4775,-0.461389
GMP,South Korea,PEK,China,Airbus A330-300,412,,,40.0725,116.598
HND,Japan,BKK,Thailand,Boeing B747-400,411,35.5533,139.781,13.6811,100.747
DXB,United Arab Emirates,DOH,Qatar,Boeing B787-8,410,25.2528,55.3644,25.2731,51.6081
ICN,South Korea,BKK,Thailand,Boeing B777-300,410,37.4633,126.44,13.6811,100.747
DXB,United Arab Emirates,DEL,India,Boeing B777-300,409,25.2528,55.3644,28.5665,77.1031
PVG,China,NRT,Japan,Boeing B747-8F,409,31.1434,121.805,35.7653,140.386
AUH,United Arab Emirates,FRA,Germany,Airbus A330-300,406,24.433,54.6511,50.0333,8.57056
DXB,United Arab Emirates,COK,India,Boeing B777-200/200ER,405,25.2528,55.3644,10.152,76.4019
PVG,China,NRT,Japan,Boeing B767F-Unspecified,405,31.1434,121.805,35.7653,140.386
COK,India,DXB,United Arab Emirates,Boeing B777-200/200ER,404,10.152,76.4019,25.2528,55.3644
BKK,Thailand,CPH,Denmark,Boeing B777-300,400,13.6811,100.747,55.6179,12.656
NRT,Japan,BKK,Thailand,Boeing B777-Unspecified,397,35.7653,140.386,13.6811,100.747
TLV,Israel,LGG,Belgium,Boeing B747-200F,396,32.0114,34.8867,50.6374,5.44322
DXB,United Arab Emirates,PVG,China,Boeing B777-300ER,396,25.2528,55.3644,31.1434,121.805
BKK,Thailand,NRT,Japan,Boeing B777-Unspecified,396,13.6811,100.747,35.7653,140.386
BKK,Thailand,LHR,United Kingdom,Boeing B747-400,396,13.6811,100.747,51.4775,-0.461389
PVG,China,DXB,United Arab Emirates,Boeing B777-300ER,395,31.1434,121.805,25.2528,55.3644
SIN,Singapore,SGN,Vietnam,Boeing B777-200ER,392,1.35019,103.994,10.8188,106.652
SGN,Vietnam,SIN,Singapore,Boeing B777-200ER,392,10.8188,106.652,1.35019,103.994
DOH,Qatar,FRA,Germany,Airbus A330-300,392,25.2731,51.6081,50.0333,8.57056
NRT,Japan,BKK,Thailand,Boeing B767-300ER,391,35.7653,140.386,13.6811,100.747
BKK,Thailand,NRT,Japan,Boeing B767-300ER,391,13.6811,100.747,35.7653,140.386
PVG,China,BKK,Thailand,Airbus A330-Unspecified,390,31.1434,121.805,13.6811,100.747
BKK,Thailand,PVG,China,Airbus A330-Unspecified,389,13.6811,100.747,31.1434,121.805
HND,Japan,SIN,Singapore,Airbus A330-300,389,35.5533,139.781,1.35019,103.994
SIN,Singapore,HND,Japan,Airbus A330-300,389,1.35019,103.994,35.5533,139.781
SHJ,United Arab Emirates,SIN,Singapore,Boeing B747-400F,388,25.3286,55.5172,1.35019,103.994
ICN,South Korea,PVG,China,Boeing B777-200ER,388,37.4633,126.44,31.1434,121.805
DEL,India,LHR,United Kingdom,Boeing B777-Unspecified,387,28.5665,77.1031,51.4775,-0.461389
NRT,Japan,TPE,Taiwan,Boeing B777-200/200ER,386,35.7653,140.386,25.0777,121.233
TPE,Taiwan,NRT,Japan,Boeing B777-200/200ER,386,25.0777,121.233,35.7653,140.386
ICN,South Korea,CDG,France,Boeing B777-300ER,385,37.4633,126.44,49.0097,2.54778
PVG,China,ICN,South Korea,Boeing B777-200ER,385,31.1434,121.805,37.4633,126.44
AUH,United Arab Emirates,MAN,United Kingdom,Boeing B777-300ER,385,24.433,54.6511,53.3537,-2.27495
DXB,United Arab Emirates,MAA,India,Boeing B777-200/200ER,384,25.2528,55.3644,12.99,80.1693
MAA,India,DXB,United Arab Emirates,Boeing B777-200/200ER,384,12.99,80.1693,25.2528,55.3644
BKK,Thailand,ARN,Sweden,Boeing B777-300,383,13.6811,100.747,59.6519,17.9186
NRT,Japan,FCO,Italy,Boeing B777-200ER,383,35.7653,140.386,41.8003,12.2389
KIX,Japan,PVG,China,Boeing B777-200LRF,380,34.4305,135.23,31.1434,121.805
BKK,Thailand,PEK,China,Airbus A330-Unspecified,376,13.6811,100.747,40.0725,116.598
PEK,China,BKK,Thailand,Airbus A330-Unspecified,375,40.0725,116.598,13.6811,100.747
HAN,Vietnam,ICN,South Korea,Airbus A330-200,375,21.2212,105.807,37.4633,126.44
