departureAirport,origCountry,arrivalAirport,destCountry,aircraftName,Frequency,departure_latitude,departure_longitude,arrival_latitude,arrival_longitude
RUH,Saudi Arabia,DXB,United Arab Emirates,Airbus A330-200,240,24.9576,46.6988,25.2528,55.3644
PVG,China,ICN,South Korea,Boeing B777-300ER,239,31.1434,121.805,37.4633,126.44
BKK,Thailand,PVG,China,Boeing B777-300,239,13.6811,100.747,31.1434,121.805
RUH,Saudi Arabia,CDG,France,Boeing B777-200ER,239,24.9576,46.6988,49.0097,2.54778
PVG,China,BKK,Thailand,Boeing B777-300,239,31.1434,121.805,13.6811,100.747
ICN,South Korea,PVG,China,Boeing B777-300ER,238,37.4633,126.44,31.1434,121.805
ICN,South Korea,NRT,Japan,Boeing B747-400,237,37.4633,126.44,35.7653,140.386
NRT,Japan,ICN,South Korea,Boeing B747-400,236,35.7653,140.386,37.4633,126.44
DMM,Saudi Arabia,DOH,Qatar,Boeing B777-300ER,236,26.4712,49.7979,25.2731,51.6081
DOH,Qatar,DMM,Saudi Arabia,Boeing B777-300ER,236,25.2731,51.6081,26.4712,49.7979
NRT,Japan,MXP,Italy,Boeing B777-200ER,235,35.7653,140.386,45.6306,8.72811
TPE,Taiwan,FUK,Japan,Boeing B777-200/200ER,234,25.0777,121.233,33.5859,130.451
FUK,Japan,TPE,Taiwan,Boeing B777-200/200ER,234,33.5859,130.451,25.0777,121.233
HGH,China,ICN,South Korea,Airbus A330-300,234,30.2295,120.434,37.4633,126.44
SIN,Singapore,BKK,Thailand,Boeing B777-200/200ER,234,1.35019,103.994,13.6811,100.747
ICN,South Korea,HGH,China,Airbus A330-300,234,37.4633,126.44,30.2295,120.434
DXB,United Arab Emirates,DOH,Qatar,Airbus A330-300,232,25.2528,55.3644,25.2731,51.6081
NRT,Japan,LHR,United Kingdom,Airbus A340-600,231,35.7653,140.386,51.4775,-0.461389
JED,Saudi Arabia,DXB,United Arab Emirates,Boeing B777-300ER,231,21.6796,39.1565,25.2528,55.3644
BLR,India,BKK,Thailand,Airbus A330-Unspecified,230,13.1979,77.7063,13.6811,100.747
DXB,United Arab Emirates,JED,Saudi Arabia,Boeing B777-300ER,230,25.2528,55.3644,21.6796,39.1565
BKK,Thailand,BLR,India,Airbus A330-Unspecified,230,13.6811,100.747,13.1979,77.7063
DOH,Qatar,DXB,United Arab Emirates,Airbus A330-300,229,25.2731,51.6081,25.2528,55.3644
ICN,South Korea,FUK,Japan,Boeing B777-200LR,229,37.4633,126.44,33.5859,130.451
DXB,United Arab Emirates,BLR,India,Boeing B777-200/200ER,228,25.2528,55.3644,13.1979,77.7063
BLR,India,DXB,United Arab Emirates,Boeing B777-200/200ER,228,13.1979,77.7063,25.2528,55.3644
ICN,South Korea,FRA,Germany,Boeing B747-400M,227,37.4633,126.44,50.0333,8.57056
TPE,Taiwan,KIX,Japan,Boeing B777-300,227,25.0777,121.233,34.4305,135.23
FUK,Japan,ICN,South Korea,Boeing B777-200LR,226,33.5859,130.451,37.4633,126.44
BKK,Thailand,CTU,China,Airbus A330-300,226,13.6811,100.747,30.5785,103.947
CTU,China,BKK,Thailand,Airbus A330-300,226,30.5785,103.947,13.6811,100.747
PEK,China,MAD,Spain,Airbus A330-200,226,40.0725,116.598,40.4719,-3.56264
NKG,China,ICN,South Korea,Boeing B767-300,225,31.742,118.862,37.4633,126.44
ICN,South Korea,NKG,China,Boeing B767-300,225,37.4633,126.44,31.742,118.862
AUH,United Arab Emirates,MUC,Germany,Airbus A340-500,225,24.433,54.6511,48.3538,11.7861
HAN,Vietnam,FRA,Germany,Boeing B777-200ER,224,21.2212,105.807,50.0333,8.57056
PVG,China,LGG,Belgium,Boeing B747-400F,224,31.1434,121.805,50.6374,5.44322
BKK,Thailand,TPE,Taiwan,Airbus A330-200,224,13.6811,100.747,25.0777,121.233
TPE,Taiwan,BKK,Thailand,Airbus A330-200,223,25.0777,121.233,13.6811,100.747
GMP,South Korea,PEK,China,Boeing B777-200ER,222,,,40.0725,116.598
ICN,South Korea,MUC,Germany,Airbus A340-600,222,37.4633,126.44,48.3538,11.7861
PEK,China,GMP,South Korea,Boeing B777-200ER,222,40.0725,116.598,,
PEK,China,MXP,Italy,Airbus A330-200,222,40.0725,116.598,45.6306,8.72811
PEK,China,ICN,South Korea,Boeing MD-11F,221,40.0725,116.598,37.4633,126.44
AUH,United Arab Emirates,PVG,China,Airbus A330-200,220,24.433,54.6511,31.1434,121.805
PVG,China,TPE,Taiwan,Airbus A340-300,220,31.1434,121.805,25.0777,121.233
PVG,China,KIX,Japan,Boeing B747-400F,220,31.1434,121.805,34.4305,135.23
TPE,Taiwan,PVG,China,Airbus A340-300,220,25.0777,121.233,31.1434,121.805
DOH,Qatar,DMM,Saudi Arabia,Airbus A330-300,220,25.2731,51.6081,26.4712,49.7979
SIN,Singapore,PEK,China,Boeing B777-300ER,219,1.35019,103.994,40.0725,116.598
DMM,Saudi Arabia,DOH,Qatar,Airbus A330-300,219,26.4712,49.7979,25.2731,51.6081
PEK,China,SIN,Singapore,Boeing B777-300ER,219,40.0725,116.598,1.35019,103.994
DXB,United Arab Emirates,DOH,Qatar,Boeing B777-200ER,219,25.2528,55.3644,25.2731,51.6081
DOH,Qatar,TXL,Germany,Airbus A330-200,218,25.2731,51.6081,52.5597,13.2877
PVG,China,AUH,United Arab Emirates,Airbus A330-200,218,31.1434,121.805,24.433,54.6511
RUH,Saudi Arabia,LHR,United Kingdom,Boeing B777-300ER,218,24.9576,46.6988,51.4775,-0.461389
DWC,United Arab Emirates,PVG,China,Boeing B777-200LRF,217,24.8964,55.1614,31.1434,121.805
PVG,China,DWC,United Arab Emirates,Boeing B777-200LRF,216,31.1434,121.805,24.8964,55.1614
DXB,United Arab Emirates,MAA,India,Airbus A330-200,216,25.2528,55.3644,12.99,80.1693
DOH,Qatar,DXB,United Arab Emirates,Boeing B777-200ER,216,25.2731,51.6081,25.2528,55.3644
MAA,India,DXB,United Arab Emirates,Airbus A330-200,216,12.99,80.1693,25.2528,55.3644
DEL,India,BKK,Thailand,Boeing B747-400,215,28.5665,77.1031,13.6811,100.747
BKK,Thailand,DEL,India,Boeing B747-400,215,13.6811,100.747,28.5665,77.1031
SGN,Vietnam,TPE,Taiwan,Airbus A340-300,215,10.8188,106.652,25.0777,121.233
TPE,Taiwan,SGN,Vietnam,Airbus A340-300,214,25.0777,121.233,10.8188,106.652
DEL,India,SIN,Singapore,Airbus A380-800,213,28.5665,77.1031,1.35019,103.994
SIN,Singapore,DEL,India,Airbus A380-800,213,1.35019,103.994,28.5665,77.1031
HAN,Vietnam,HND,Japan,Boeing B787-8,213,21.2212,105.807,35.5533,139.781
HND,Japan,HAN,Vietnam,Boeing B787-8,213,35.5533,139.781,21.2212,105.807
AUH,United Arab Emirates,ZRH,Switzerland,Airbus A330-300,213,24.433,54.6511,47.4647,8.54917
FUK,Japan,ICN,South Korea,Boeing B777-200ER,212,33.5859,130.451,37.4633,126.44
NRT,Japan,AUH,United Arab Emirates,Airbus A330-200,212,35.7653,140.386,24.433,54.6511
ICN,South Korea,FUK,Japan,Boeing B777-200ER,212,37.4633,126.44,33.5859,130.451
